Date,GLI_Open,GLI_High,GLI_Low,GLI_Close,TotalVolume,Divisor,ComponentSum,RosterCount,SourceYear,LockedBundle
2013-07-15,118.467210033621266946894597994630381172689747359093230645566298838077183730213891413247861292260476720239174805276494745034135724942748646271004090573996291042380832919775016261459,119.616490386998257924423089973200117281561693204282291405857457549924448720625407124993309671429342826786706356902735751692931274055163499664135779103948104589210968557466654203349,117.585441557711630084615743503674956158735513083141334764930118566690485460591206510748005918673100936642488074419632819270283376578696627244732424923347491484580828783261529458431,118.864163776668590,183415677,41.394617550540460,4920.3366000000,100,2013,GLI_2013_final_lock_bundle
2013-07-16,118.922179722977329799073669591136298930831443822073138421031735987419554184419640554808280438558248537529724767817456168933653742289728104865711107023427066567700135930875090705333,119.538743428387700245527289926671939938373372903973473388369240806367840924148984175370654486834989022406456787095981515237591383882856710524039456631767893232778319918053180967443,117.255783372459722960089492993607866357805983463753394172103043435453130667077106180042086806486939530884944678080034743521594931784467604062826108123875887869595750637369822492804,118.053471421339310,239317038,41.394617550540460,4886.7783000000,100,2013,GLI_2013_final_lock_bundle
2013-07-17,118.446909224603149623426412190879138121512400846732199708171525808401321689203434797231837609873555130224394827999690011961418661860966215784514129918980155218329830507381465308071,119.336511713424926281026671634093245362019549674609891538332236166060340343313997539322811054528300724051042156462412479807040381293030253247246905683334303984444272178879919628064,117.332802258272175856112799409972349434834702668736898466860867761110505470162871881054089092719212375883547453364769023012076536846456343173771862546491851557494815066329606149696,118.329362362620657,195601814,41.394617550540460,4898.1987000000,100,2013,GLI_2013_final_lock_bundle
2013-07-18,118.599894874511432391058033502135616751886454418841842220278819715456941235007321923555940969395828605495763484314367023811429944506526701577954051578446860459569101305655108695946,120.232560277803525629261433518605815962859826142922110837928475745287508894930499267658487905822031924326246442740802384758646795243852887762021700635789268647087459345547776990635,117.951411536324789522905113936276855891405102327357789201411173901184556126278253076847737285555516892540332201359660326192145911861825062515255456821022147245232494878924539587819,119.228882691671629,205020855,41.394617550540460,4935.4340000000,100,2013,GLI_2013_final_lock_bundle
2013-07-19,119.359791010379170539428271509225644116311488405363330776241227797285382480925649860144484543154232759193752967673058247668547686236649955843531414412550967624136319353621809054397,120.591768336222173143944709840022522886508988659510389332225143925391023010338510479309384232091678977554746183939245027387046518633061996697985974643925088730581785700727458400441,118.240010884543089993501990160116133468356226147324865985787550790314340113370776946536092166829331487287654790925676108794549518647141289134243738156328899139052860370352213371894,119.813246104872988,203770556,41.394617550540460,4959.6235000000,100,2013,GLI_2013_final_lock_bundle
2013-07-22,119.908784129718190826218963498699161166365047171598432767876554787163951879529549381407183933296774072295068842468080903755075301927908064518886775110454485972749463619846098201045,121.003253475755390367811074068537029566273127144778078175608926235126199389827765041829059877507989352074640246912433182563700394959963157928486243778956482343130747914177348305572,119.107901745443881831990917853644529892191727167544903652214771612792059834700668791219153963293416055464883510166974572231436328916917313605511566531885139225115931954162814663233,120.159767001762276,178469338,41.394617550540460,4973.9676000000,100,2013,GLI_2013_final_lock_bundle
2013-07-23,120.170505960797052952712300514300713757169423030464296089033587412978002609444918490098906066389279978977399094660323294174109389204197821984230390062679839952554847710587794614750,120.901496284863189352449587752806163945416579422752998849368011958884991902931617187417197871293981824419113508228908516956272835595404909913803696016705574187647285205429906145802,118.722611665823584118911141278081899595492476825987793674538631920979435228618433277448704411233527083759948157908177372923673529999800201397217294982565792874491213007433284087298,119.601431127012830,190983031,41.394617550540460,4950.8555000000,100,2013,GLI_2013_final_lock_bundle
2013-07-24,119.809720389913585041218868326574883605948694256482838170608888968124743487117319847075435942660978379819502844354942031531959474317446770312567928470181132490635619022502654414952,120.549808913824875076471176143428924916902572841529288948669707142086814722656309888380544320743924174551380842422271181931299624548192379794973387542910030124924982814721991840681,117.944086813016268932129693992321677201617276502605759170091590643286354886155119246795161836295158449628430227345244509277488424135250670351843746770207092033577156080922241355573,118.801575929424004,290392358,41.394617550540460,4917.7458000000,100,2013,GLI_2013_final_lock_bundle
2013-07-25,118.499600149320510079213812617683563505901484848823746569155238266163790749023227367254053374269355074989430892737768501381557709977438875822040162365287054998662075416078222017507,120.061829529231688254179756739286117221943949304744668522481727975697094801063779904318526305087042413565254061263169241765439632030510601424887116762857564256254851060337636178057,117.316722899238869901105482572156251684350948147507462193944097100930308815731953332078456170658390411429578644123700080239613264429471104313455596971765298926174670086805668991658,119.168889384644018,280198931,41.394617550540460,4932.9506000000,100,2013,GLI_2013_final_lock_bundle
2013-07-26,118.508962981785604616839862562415102768614520366612181014695856626904259293347794537316914493607430781443330604403120004510745595113151554061219032382354553120008417458653175532860,119.574844665912220813403505415171707827833956262091381799683826311892779736900732490961357392493573534860103445244956233843836950500539846293397025538115744320365901720974774696322,117.519404376732973005889920237859286352543524115560448097642813811011652683681879606506303353742120029143641966482315968026796433697553819272597315831282286791682176335060700169542,118.922780093078217,211408643,41.394617550540460,4922.7630000000,100,2013,GLI_2013_final_lock_bundle
