Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
MAS,2006-11-20,2025-12-31,Masco Corporation,MAS,Masco,GLI historical roster and company-name audit,Masco,,,,,
MCD,2005-08-01,2025-12-31,McDonald's Corporation,MCD,McDonald's Corp.,GLI historical roster and company-name audit,McDonald's Corp.,,,,,
MDRX,2007-01-19,2008-10-12,"Allscripts Healthcare Solutions, Inc.",ALLSCRIPTS,Allscripts Healthcare Solutions,GLI historical roster and company-name audit,Allscripts Healthcare Solutions,,,,,
MDRX,2008-10-13,2010-12-21,"Allscripts-Misys Healthcare Solutions, Inc.",ALLSCRIPTS,Allscripts-Misys Healthcare Solutions|Allscripts-Misys  Healthcare Solutions,GLI historical roster and company-name audit,Allscripts-Misys Healthcare Solutions|Allscripts-Misys  Healthcare Solutions,2008-10-13,NAME_CHANGE,MDRX,"Allscripts Healthcare Solutions, Inc.",Same security and ticker; company name changed.
MDRX,2010-12-22,2024-12-31,"Allscripts Healthcare Solutions, Inc.",ALLSCRIPTS,Allscripts Healthcare Solutions,GLI historical roster and company-name audit,Allscripts Healthcare Solutions,2010-12-22,NAME_CHANGE,MDRX,"Allscripts-Misys Healthcare Solutions, Inc.",Same security and ticker; company name changed back to Allscripts Healthcare Solutions.
MFBC,2005-08-01,2005-10-07,MFB Corp.,MFBC,,GLI historical roster and company-name audit,MFB Corp.,,,,,
MI,2009-05-18,2010-12-21,Marshall & Ilsley Corporation,MI,Marshall & Ilsley,GLI historical roster and company-name audit,Marshall & Ilsley,,,,,
MMI,2011-01-04,2012-05-22,"Motorola Mobility Holdings, Inc.",MMI,Motorola Mobility Holdings,GLI historical roster and company-name audit,Motorola Mobility Holdings,,,,,
MOD,2005-09-22,2025-12-31,Modine Manufacturing Company,MOD,Modine Manufacturing,GLI historical roster and company-name audit,Modine Manufacturing,,,,,
MOT,2007-01-19,2010-12-21,"Motorola, Inc.",MOT,Motorola Corp.,GLI historical roster and company-name audit,Motorola Corp.,,,,,
MPC,2020-07-21,2025-12-31,Marathon Petroleum Corporation,MPC,,GLI historical roster and company-name audit,,,,,,
MRTN,2018-10-10,2025-12-31,"Marten Transport, Ltd.",MRTN,,GLI historical roster and company-name audit,,,,,,
MSI,2012-05-23,2025-12-31,"Motorola Solutions, Inc.",MSI,Motorola Solutions,GLI historical roster and company-name audit,Motorola Solutions,,,,,
MTOR,2019-09-30,2022-08-02,"Meritor, Inc.",MTOR,,GLI historical roster and company-name audit,,,,,,
MWY,2006-03-07,2009-02-12,Midway Games Inc.,MWY,Midway Games,GLI historical roster and company-name audit,Midway Games,,,,,
NAV,2006-11-20,2006-12-20,Navistar International Corporation,NAV,Navistar International,GLI historical roster and company-name audit,Navistar International,,,,,
NCC,2006-11-20,2008-12-31,National City Corporation,NCC,National City,GLI historical roster and company-name audit,National City,,,,,
NCR,2006-11-20,2010-01-26,NCR Corporation,NCR,NCR Corp.,GLI historical roster and company-name audit,NCR Corp.,,,,,
NEOG,2005-10-10,2006-03-06,Neogen Corporation,NEOG,Neogen,GLI historical roster and company-name audit,Neogen,,,,,
NI,2005-08-31,2025-12-31,NiSource Inc.,NI,NiSource,GLI historical roster and company-name audit,NiSource,,,,,
NPK,2009-06-01,2025-12-31,"National Presto Industries, Inc.",NPK,National Presto Industries,GLI historical roster and company-name audit,National Presto Industries,,,,,
NTRS,2009-04-09,2025-12-31,Northern Trust Corporation,NTRS,Northern Trust Corp.,GLI historical roster and company-name audit,Northern Trust Corp.,,,,,
OI,2006-11-20,2019-12-31,"Owens-Illinois, Inc.",OI,Owens-Illinois,historical corporate-name chronology,Owens-Illinois,,,,,
OI,2020-01-01,2025-12-31,"O-I Glass, Inc.",OI,,historical corporate-name chronology,,,,,,
ONB,2007-02-01,2009-08-07,Old National Bancorp,ONB,,GLI historical roster and company-name audit,Old National Bancorp,,,,,
ORI,2009-02-13,2013-08-01,Old Republic International Corporation,ORI,Old Republic International Corp.,GLI historical roster and company-name audit,Old Republic International Corp.,,,,,
OSK,2005-09-22,2025-12-31,Oshkosh Corporation,OSK,Oshkosh Corp.,GLI historical roster and company-name audit,Oshkosh Corp.,,,,,
